url;price;available
http://pepbar.ru/cjc-1295;550.0;1
http://pepbar.ru/jack3d;2500.0;1
http://pepbar.ru/methyldrene_elite;2500.0;1
http://pepbar.ru/cialis;120.0;0
http://pepbar.ru/hgh-frag-176-191;850.0;1
http://pepbar.ru/ghrp-6;350.0;1
http://pepbar.ru/gonadorelin;400.0;1
http://pepbar.ru/azia_black;2600.0;1
http://pepbar.ru/dmma;300.0;1
http://pepbar.ru/сardarol ;2500.0;1
http://pepbar.ru/melanotan-2-spray;1500.0;0
http://pepbar.ru/black-spider;2700.0;1
http://pepbar.ru/mgf;350.0;0
http://pepbar.ru/сhina_white;2500.0;1
http://pepbar.ru/black-mamba;3190.0;1
http://pepbar.ru/hexarelin;1100.0;0
http://pepbar.ru/ansomone;7500.0;1
http://pepbar.ru/peg-mgf;950.0;1
http://pepbar.ru/cjc-1295-with-dac;950.0;1
http://pepbar.ru/haygetropin;690.0;0
http://pepbar.ru/ginseng-kianpi-pil;1200.0;1
http://pepbar.ru/melanotan-2;800.0;1
http://pepbar.ru/ghrp-2;350.0;1
http://pepbar.ru/hellfire;3490.0;1
http://pepbar.ru/dsip;350.0;1
http://pepbar.ru/klenbuterol;600.0;0
http://pepbar.ru/oxyelite-pro;2450.0;0
http://pepbar.ru/levitra;120.0;0
http://pepbar.ru/tb500;500.0;1
http://pepbar.ru/viagra;120.0;0
http://pepbar.ru/ipamorelin;700.0;1
http://pepbar.ru/kigtropin;550.0;0
http://pepbar.ru/jintropin;4900.0;0
